OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score
MinerU,1600-1624,5,0.155963,0.143121,0.065161,0.348152,0.339474,0.092560,0.000000,0.000000,0.000000
MinerU,1625-1649,5,0.132568,0.108205,0.054299,0.348957,0.387640,0.117354,0.000000,0.000000,0.000000
MinerU,1650-1674,11,0.121137,0.093976,0.067353,0.262171,0.224329,0.091941,0.000000,0.000000,0.000000
MinerU,1675-1699,21,0.117650,0.086400,0.122182,0.242336,0.213650,0.128780,0.000000,0.000000,0.000000
MinerU,1700-1724,12,0.084703,0.070629,0.048963,0.173298,0.172866,0.043852,0.000000,0.000000,0.000000
MinerU,1725-1749,12,0.089873,0.042591,0.084593,0.196432,0.164251,0.091226,0.000000,0.000000,0.000000
MinerU,1750-1774,13,0.056585,0.053815,0.021022,0.185507,0.182008,0.043823,0.000000,0.000000,0.000000
MinerU,1775-1799,14,0.061567,0.046882,0.046438,0.193504,0.178218,0.084684,0.000000,0.000000,0.000000
MinerU,1800-1824,7,0.187459,0.018409,0.297876,0.180326,0.098039,0.157004,0.000000,0.000000,0.000000
