OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
Chandra-1,1600-1624,5,0.059356,0.050520,0.031167,0.127199,0.113664,0.047746,0.782401,0.789621,0.054981,0.025331,0.026128,0.007874
Chandra-1,1625-1649,5,0.045453,0.019978,0.046176,0.122004,0.083721,0.094183,0.777819,0.819436,0.140955,0.021398,0.022130,0.005477
Chandra-1,1650-1674,11,0.063538,0.043142,0.056026,0.100631,0.082707,0.062779,0.844856,0.891747,0.075799,0.024910,0.018913,0.019169
Chandra-1,1675-1699,21,0.030801,0.017469,0.034976,0.067198,0.053012,0.039696,0.879225,0.904016,0.070419,0.024437,0.017350,0.016873
Chandra-1,1700-1724,12,0.060815,0.029700,0.064777,0.076854,0.069556,0.041079,0.881370,0.875796,0.050149,0.018973,0.014719,0.014117
Chandra-1,1725-1749,12,0.034348,0.015817,0.038517,0.078662,0.063297,0.066785,0.878898,0.903648,0.131133,0.026790,0.014264,0.039413
Chandra-1,1750-1774,13,0.028861,0.020259,0.018530,0.086483,0.060680,0.055853,0.839283,0.888875,0.112104,0.022610,0.013333,0.024246
Chandra-1,1775-1799,14,0.029399,0.012891,0.056536,0.056199,0.031619,0.074512,0.918959,0.953600,0.099380,0.012725,0.004573,0.027167
Chandra-1,1800-1824,7,0.142658,0.005766,0.333805,0.086067,0.021186,0.158990,0.885908,0.963575,0.190988,0.005136,0.004464,0.004098
Chandra-2,1600-1624,5,0.059269,0.041008,0.036922,0.121348,0.108262,0.053785,0.790802,0.784917,0.060850,0.018731,0.020468,0.004126
Chandra-2,1625-1649,5,0.041709,0.017481,0.041267,0.106781,0.075969,0.076040,0.824675,0.861233,0.093392,0.041315,0.040248,0.019127
Chandra-2,1650-1674,11,0.089605,0.048455,0.095309,0.139196,0.114688,0.105519,0.800649,0.774592,0.112067,0.039124,0.032720,0.034527
Chandra-2,1675-1699,21,0.039522,0.024769,0.043690,0.097682,0.082474,0.063948,0.825544,0.838835,0.114263,0.039200,0.031818,0.034622
Chandra-2,1700-1724,12,0.073634,0.030741,0.102510,0.115599,0.085588,0.097779,0.821738,0.832551,0.098147,0.045909,0.035637,0.039258
Chandra-2,1725-1749,12,0.036699,0.020954,0.032915,0.085544,0.067895,0.035445,0.865815,0.889468,0.071408,0.029630,0.025063,0.023833
