OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
Chandra-Home,1600-1624,5,0.060937,0.050520,0.030258,0.128908,0.113664,0.046981,0.780061,0.789621,0.054318,0.025399,0.026128,0.007856
Chandra-Home,1625-1649,5,0.045453,0.019978,0.046176,0.122004,0.083721,0.094183,0.777819,0.819436,0.140955,0.021398,0.022130,0.005477
Chandra-Home,1650-1674,11,0.063538,0.043142,0.056026,0.100631,0.082707,0.062779,0.844856,0.891747,0.075799,0.024910,0.018913,0.019169
Chandra-Home,1675-1699,21,0.031070,0.017469,0.035067,0.067669,0.054217,0.039860,0.878136,0.900628,0.070650,0.024639,0.017350,0.016870
Chandra-Home,1700-1724,12,0.060815,0.029700,0.064777,0.076966,0.069556,0.041006,0.881261,0.875796,0.050081,0.018973,0.014719,0.014117
Chandra-Home,1725-1749,12,0.034348,0.015817,0.038517,0.078662,0.063297,0.066785,0.878898,0.903648,0.131133,0.026790,0.014264,0.039413
Chandra-Home,1750-1774,13,0.033315,0.022414,0.022713,0.090562,0.064286,0.054746,0.835029,0.883310,0.110189,0.022522,0.011933,0.024299
Chandra-Home,1775-1799,14,0.029399,0.012891,0.056536,0.056199,0.031619,0.074512,0.918959,0.953600,0.099380,0.012725,0.004573,0.027167
Chandra-Home,1800-1824,7,0.142703,0.005766,0.333786,0.086579,0.021186,0.158746,0.885006,0.963575,0.190543,0.005395,0.005435,0.004051
DeepSeek,1600-1624,5,0.227831,0.135967,0.234141,0.402155,0.321937,0.190626,0.391665,0.460437,0.172363,0.065027,0.071429,0.014171
DeepSeek,1625-1649,5,0.162129,0.098955,0.144026,0.333246,0.379518,0.160569,0.520030,0.461891,0.119598,0.062510,0.063348,0.019422
DeepSeek,1650-1674,11,0.102820,0.064091,0.074920,0.237351,0.191601,0.093069,0.606063,0.619272,0.100525,0.057806,0.055762,0.017916
DeepSeek,1675-1699,21,0.162503,0.044563,0.373110,0.330910,0.170996,0.609170,0.622169,0.652399,0.197155,0.043496,0.040383,0.026980
DeepSeek,1700-1724,12,0.105758,0.045825,0.198386,0.220375,0.157067,0.254594,0.686751,0.708166,0.246264,0.034398,0.033562,0.018819
DeepSeek,1725-1749,12,0.117893,0.020605,0.192995,0.195618,0.082109,0.236965,0.741442,0.847738,0.241256,0.039193,0.019848,0.063859
DeepSeek,1750-1774,13,0.051925,0.055873,0.014420,0.175305,0.185484,0.060499,0.663456,0.649453,0.118556,0.038788,0.039911,0.018921
DeepSeek,1775-1799,14,0.088111,0.025360,0.214129,0.626202,0.074802,1.942852,0.782741,0.879946,0.247090,0.075270,0.019104,0.209810
DeepSeek,1800-1824,7,0.188447,0.008609,0.299435,0.151162,0.033223,0.168283,0.804635,0.942095,0.200521,0.017859,0.010204,0.016308
EasyOCR,1600-1624,5,0.588085,0.738303,0.221781,0.870593,0.962963,0.135968,0.054567,0.022661,0.063192,0.085171,0.085987,0.021714
EasyOCR,1625-1649,5,0.752124,0.751922,0.000852,0.948419,0.947190,0.006763,0.086862,0.092636,0.048714,0.078075,0.076176,0.008114
EasyOCR,1650-1674,11,0.529012,0.644872,0.248532,0.807472,0.900510,0.186288,0.143634,0.147325,0.078454,0.095145,0.091549,0.015867
EasyOCR,1675-1699,21,0.544379,0.718467,0.249671,0.805153,0.932862,0.203928,0.190720,0.176615,0.101353,0.100415,0.095087,0.023651
EasyOCR,1700-1724,12,0.437564,0.288662,0.246019,0.717552,0.656108,0.223204,0.204115,0.151355,0.113615,0.106424,0.113523,0.024472
EasyOCR,1725-1749,12,0.248350,0.211284,0.156628,0.489317,0.414671,0.187712,0.355384,0.377256,0.113479,0.088079,0.085897,0.022319
EasyOCR,1750-1774,13,0.199590,0.208621,0.057343,0.494892,0.435115,0.117180,0.293655,0.319283,0.100877,0.085478,0.082609,0.016091
EasyOCR,1775-1799,14,0.165412,0.171108,0.055517,0.424534,0.443006,0.098627,0.367463,0.341471,0.118914,0.070419,0.075169,0.024710
EasyOCR,1800-1824,7,0.160416,0.126900,0.083770,0.340339,0.308411,0.137765,0.504841,0.515877,0.155016,0.066759,0.066372,0.022119
Gemini,1600-1624,5,0.069919,0.047193,0.046044,0.226511,0.215236,0.049144,0.571063,0.573586,0.025214,0.020918,0.023641,0.012971
Gemini,1625-1649,5,0.195906,0.041781,0.313621,0.318858,0.199482,0.271107,0.487499,0.595320,0.241384,0.017417,0.006144,0.016575
