OCR System,Num Documents,Mean CER,Median CER,Std CER,Min CER,Max CER,Mean WER,Median WER,Std WER,Min WER,Max WER,Char Accuracy,Word Accuracy,Total Chars,Total Words,Total Char Errors,Total Word Errors,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Char Ins %,Char Del %,Char Sub %,Word Ins %,Word Del %,Word Sub %,Mean Significant Word Accuracy,Median Significant Word Accuracy,Std Significant Word Accuracy,Total Significant Words,Total Significant Word Errors,Mean Capitalized Word Accuracy,Median Capitalized Word Accuracy,Std Capitalized Word Accuracy,Total Capitalized Words,Total Capitalized Word Errors,Mean Number Group Accuracy,Median Number Group Accuracy,Std Number Group Accuracy,Total Number Groups,Total Number Group Errors,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Min BLEU Score,Max BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate,Min Hallucination Rate,Max Hallucination Rate,Total Hallucinated Words,Total Unique Hallucinated Words
OlmOCRv2,100,0.044267,0.015824,0.111702,0.004096,0.898069,0.07,0.04,0.106552,0.006873,0.65625,0.955733,0.925055,225158,40063,11487,3467,3112,6064,2311,362,1220,1885,27.09,52.79,20.12,10.44,35.19,54.37,0.89,0.933444,0.133167,19618,2624,0.852857,0.900549,0.145927,7236,1179,0.330368,0.4,0.59529,558,201,0.885603,0.929215,0.117506,0.276762,0.992674,1.34%,0.008141,0.016832,0,0.116379,638,580
OlmOCRv1,99,0.041026,0.015828,0.076845,0.003785,0.483805,0.08,0.05,0.098328,0.003436,0.5875,0.958974,0.922601,220817,39337,10696,3480,1741,7290,1665,333,1434,1713,16.28,68.16,15.57,9.57,41.21,49.22,0.89,0.923077,0.104005,19273,2640,0.851618,0.898876,0.144409,7037,1168,0.310079,0.285714,0.589576,556,221,0.877555,0.915454,0.125961,0.297435,0.996558,1.66%,0.01005,0.018176,0,0.075641,806,743
Gemini,99,0.054654,0.038205,0.085818,0,0.82311,0.19,0.18,0.099506,0,0.859851,0.945346,0.807265,219806,39141,17892,8179,3047,8817,6028,869,1531,5779,17.03,49.28,33.69,10.62,18.72,70.66,0.65,0.654545,0.120923,19187,7023,0.736178,0.75,0.142088,6991,2112,0.917914,1,0.20486,557,46,0.631731,0.62927,0.120535,0.010645,1,1.69%,0.014851,0.012649,0,0.048309,605,577
Chandra-Home,100,0.048689,0.02034,0.102919,0.00246,0.9603,0.08,0.06,0.073273,0.008547,0.475,0.951311,0.917798,225158,40063,10669,3437,4503,4245,1921,410,963,2064,42.21,39.79,18.01,11.93,28.02,60.05,0.87,0.901789,0.111306,19618,2852,0.802422,0.850613,0.172138,7236,1381,0.155744,0.345238,1.027551,558,280,0.865614,0.893169,0.110076,0.419145,0.991416,2.08%,0.01471,0.023091,0,0.151163,808,723
Transkribus,100,0.117012,0.02823,0.217614,0.004527,0.775766,0.19,0.09,0.252468,0.021084,0.939528,0.882988,0.809507,225158,40063,36672,9593,9469,9663,17540,2678,2040,4875,25.82,26.35,47.83,27.92,21.27,50.82,0.74,0.82674,0.265115,19618,6192,0.771169,0.872678,0.27483,7236,2149,0.600532,1,0.747996,558,192,0.820769,0.857302,0.129357,0.046254,0.961088,3.17%,0.027773,0.019,0.005637,0.11336,1228,1131
MinerU,100,0.087551,0.051394,0.112869,0.003295,0.863734,0.19,0.16,0.112789,0.010256,0.711988,0.912449,0.808252,225158,40063,21702,8441,6561,7805,7336,1085,1595,5761,30.23,35.96,33.8,12.85,18.9,68.25,0.67,0.690927,0.163967,19618,7263,0.677193,0.711982,0.207575,7236,2365,-0.196747,0.0625,1.925759,558,511,0.660751,0.679517,0.141587,0.273342,0.986696,3.82%,0.028711,0.036529,0,0.250941,1698,1211
Kraken,99,0.084943,0.046912,0.127712,0.005283,0.928349,0.20,0.15,0.159086,0.022026,1,0.915057,0.802032,221988,39508,21803,8201,9668,4963,7172,2180,1089,4932,44.34,22.76,32.89,26.58,13.28,60.14,0.66,0.730337,0.226839,19369,6887,0.64641,0.716981,0.287574,7217,2317,0.047117,0.333333,1.196247,555,413,0.7117,0.757773,0.161619,0,0.965524,4.56%,0.042155,0.027201,0,0.200883,1888,1794
DeepSeek,100,0.124049,0.04864,0.240225,0.00133,1.750238,0.30,0.17,0.8057,0.007752,7.627907,0.875951,0.696672,225158,40063,30586,11267,10318,10517,9751,3024,1953,6290,33.73,34.39,31.88,26.84,17.33,55.83,0.57,0.698608,0.796441,19618,9105,0.653371,0.705422,0.311931,7236,2930,0.424779,0.5,0.626659,558,217,0.666448,0.682553,0.220322,0.000271,0.992156,4.75%,0.035021,0.085011,0,0.83105,2341,1406
Tesseract,100,0.150119,0.104039,0.143961,0.002264,0.760228,0.41,0.37,0.189876,0.017621,1.030445,0.849881,0.589667,225158,40063,36508,16998,11679,7728,17101,2629,1844,12525,31.99,21.17,46.84,15.47,10.85,73.69,0.33,0.355558,0.242744,19618,13432,0.394303,0.484898,0.39612,7236,4070,-0.349522,0,1.632152,558,440,0.405874,0.419663,0.161708,0.04965,0.96913,8.83%,0.07813,0.049737,0.008734,0.27451,3576,3310
EasyOCR,100,0.382165,0.260588,0.260063,0.077253,0.813912,0.64,0.60,0.251703,0.193833,1.044496,0.617835,0.358727,225158,40063,105688,29029,23518,21654,60516,2999,2756,23274,22.25,20.49,57.26,10.33,9.49,80.17,0.05,0.025998,0.29947,19618,20120,-0.060399,0.097704,0.720875,7236,6933,-3.156228,-1.183333,5.755172,558,1148,0.255021,0.236264,0.15729,0.008911,0.696318,8.87%,0.087212,0.024825,0.025974,0.175439,3630,3365
