OCR System,Num Documents,Mean CER,Median CER,Std CER,Min CER,Max CER,Mean WER,Median WER,Std WER,Min WER,Max WER,Char Accuracy,Word Accuracy,Total Chars,Total Words,Total Char Errors,Total Word Errors,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Char Ins %,Char Del %,Char Sub %,Word Ins %,Word Del %,Word Sub %,Mean Significant Word Accuracy,Median Significant Word Accuracy,Std Significant Word Accuracy,Total Significant Words,Total Significant Word Errors,Mean Capitalized Word Accuracy,Median Capitalized Word Accuracy,Std Capitalized Word Accuracy,Total Capitalized Words,Total Capitalized Word Errors,Mean Number Group Accuracy,Median Number Group Accuracy,Std Number Group Accuracy,Total Number Groups,Total Number Group Errors,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Min BLEU Score,Max BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate,Min Hallucination Rate,Max Hallucination Rate,Total Hallucinated Words,Total Unique Hallucinated Words
OlmOCRv2,100,0.04421,0.015649,0.111705,0.003787,0.898069,0.074753,0.040569,0.106596,0.006873,0.65625,0.95579,0.925247,225149,40058,11472,3456,3112,6055,2305,363,1216,1877,27.13,52.78,20.09,10.5,35.19,54.31,0.890236,0.934984,0.133184,19613,2611,0.853438,0.900549,0.145919,7237,1175,0.330368,0.4,0.59529,558,201,0.886039,0.929844,0.117463,0.276762,0.992674,0.013263,0.008043,0.016738,0,0.116379,632,575
OlmOCRv1,99,0.040939,0.015799,0.07684,0.003471,0.483805,0.077158,0.045267,0.098347,0.003436,0.5875,0.959061,0.922842,220808,39332,10675,3467,1740,7280,1655,333,1429,1705,16.3,68.2,15.5,9.6,41.22,49.18,0.892493,0.923077,0.10403,19268,2628,0.852207,0.898876,0.144421,7038,1164,0.310079,0.285714,0.589576,556,221,0.877993,0.915651,0.125908,0.297435,0.996558,0.016459,0.01,0.018112,0,0.075641,801,738
Chandra-Home,100,0.045663,0.020153,0.101642,0.00246,0.9603,0.079189,0.053614,0.073198,0.008547,0.475,0.954337,0.920811,225149,40058,10093,3331,4645,3591,1857,428,837,2066,46.02,35.58,18.4,12.85,25.13,62.02,0.873153,0.9086,0.111875,19613,2779,0.81427,0.856108,0.159929,7237,1331,0.16491,0.401786,1.029194,558,277,0.868909,0.899417,0.111052,0.419145,0.991416,0.020821,0.01471,0.023097,0,0.151163,808,723
LightOn,100,0.127416,0.022398,0.650404,0.001392,6.445165,0.148122,0.056209,0.523532,0.007299,5.224684,0.872584,0.851878,225149,40058,29405,6388,23922,2658,2825,3285,682,2421,81.35,9.04,9.61,51.42,10.68,37.9,0.766501,0.896626,0.767991,19613,5270,0,0,0,7237,7237,0.521926,0.666667,0.660575,558,154,0.847976,0.908175,0.156649,0.118458,0.992674,0.027277,0.012459,0.065217,0,0.63023,2220,943
Gemini,100,0.116646,0.093608,0.121573,0.044425,0.985989,0.252184,0.231013,0.126098,0.088106,0.992408,0.883354,0.747816,225149,40058,32075,10624,12041,13765,6269,2405,2367,5852,37.54,42.92,19.54,22.64,22.28,55.08,0.59495,0.610387,0.134891,19613,8228,0.621118,0.666667,0.212114,7237,2611,0.032002,0.125,0.705166,558,240,0.596517,0.6023,0.128831,0,0.918532,0.030566,0.024036,0.027786,0.003132,0.235294,983,951
Transkribus,100,0.117051,0.02823,0.217667,0.004527,0.775766,0.190678,0.094125,0.25266,0.021084,0.939528,0.882949,0.809322,225149,40058,36678,9602,9475,9660,17543,2645,2002,4955,25.83,26.34,47.83,27.55,20.85,51.6,0.738983,0.82674,0.265534,19613,6199,0.770979,0.872678,0.274697,7237,2152,0.600532,1,0.747996,558,192,0.820483,0.857302,0.129522,0.046254,0.961088,0.031815,0.027773,0.019084,0.005637,0.11336,1234,1136
MinerU,100,0.082499,0.045646,0.113351,0.002471,0.863734,0.189499,0.155287,0.113475,0.010256,0.716374,0.917501,0.810501,225149,40058,20679,8354,6969,6299,7411,1184,1303,5867,33.7,30.46,35.84,14.17,15.6,70.23,0.67433,0.697521,0.165777,19613,7176,0.689429,0.725298,0.205041,7237,2304,-0.016535,0.5,1.980503,558,464,0.662789,0.684964,0.14185,0.273342,0.986696,0.038163,0.028493,0.036414,0,0.249688,1711,1223
DeepSeek,100,0.12134,0.04615,0.240557,0.00133,1.748449,0.301767,0.170116,0.80598,0.007752,7.627907,0.87866,0.698233,225149,40058,29943,11203,10517,9657,9769,3080,1801,6322,35.12,32.25,32.63,27.49,16.08,56.43,0.571285,0.699695,0.800166,19613,9055,0.66279,0.731151,0.309155,7237,2896,0.48066,0.571429,0.627195,558,202,0.667118,0.682553,0.219872,0.000271,0.992156,0.047547,0.035021,0.085033,0,0.83105,2353,1416
Kraken,99,0.138772,0.102642,0.119404,0.046345,0.862928,0.245551,0.199115,0.152879,0.096386,0.954128,0.861228,0.754449,221980,39504,31041,9641,19155,4274,7612,3629,941,5071,61.71,13.77,24.52,37.64,9.76,52.6,0.612348,0.677316,0.224759,19365,7650,0.539137,0.645963,0.343979,7218,2566,-1.121351,-0.666667,1.698938,555,665,0.679343,0.719869,0.152114,0.000832,0.890474,0.056241,0.052542,0.028484,0.015054,0.213983,2262,2160
Tesseract,100,0.205324,0.166453,0.139039,0.086825,0.826129,0.459082,0.406884,0.185622,0.105727,1.058685,0.794676,0.540918,225149,40058,45855,18451,21427,7128,17300,4116,1701,12634,46.73,15.54,37.73,22.31,9.22,68.47,0.281997,0.30972,0.241674,19613,14188,0.288948,0.381749,0.425713,7237,4311,-1.633087,-1,2.175962,558,709,0.39024,0.4081,0.150324,0.048262,0.890815,0.09632,0.085644,0.047598,0.018182,0.269091,3958,3680
EasyOCR,100,0.434143,0.317329,0.246761,0.142352,0.863853,0.685269,0.635453,0.236387,0.277533,1.104895,0.565857,0.314731,225149,40058,114352,30287,31447,18868,64037,4221,2281,23785,27.5,16.5,56,13.94,7.53,78.53,-0.006428,-0.023046,0.293764,19613,20915,-0.170016,0.004938,0.763278,7237,7182,-4.45807,-2.8125,6.233414,558,1430,0.245107,0.232013,0.145874,0.009217,0.652552,0.0967,0.094443,0.025261,0.03012,0.18239,4020,3746
