OCR System,Num Documents,Mean CER,Median CER,Std CER,Min CER,Max CER,Mean WER,Median WER,Std WER,Min WER,Max WER,Char Accuracy,Word Accuracy,Total Chars,Total Words,Total Char Errors,Total Word Errors,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Char Ins %,Char Del %,Char Sub %,Word Ins %,Word Del %,Word Sub %,Mean Significant Word Accuracy,Median Significant Word Accuracy,Std Significant Word Accuracy,Total Significant Words,Total Significant Word Errors,Mean Capitalized Word Accuracy,Median Capitalized Word Accuracy,Std Capitalized Word Accuracy,Total Capitalized Words,Total Capitalized Word Errors,Mean Number Group Accuracy,Median Number Group Accuracy,Std Number Group Accuracy,Total Number Groups,Total Number Group Errors,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Min BLEU Score,Max BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate,Min Hallucination Rate,Max Hallucination Rate,Total Hallucinated Words,Total Unique Hallucinated Words
DeepSeek,100,13%,6%,0.235191,0,1.709255,0.31,0.18,0.776088,0,7.370787,87%,69%,230620,41463,34146,12098,9294,14955,9897,2613,2942,6543,27.22,43.8,28.98,21.6,24.32,54.08,56%,0.685693,0.750847,20782,9738,0.621343,0.666667,0.307373,7586,3280,-10.212695,0.5,105.709851,593,1307,64%,0.659995,0.206665,0.000271,1,5.00%,0.035363,0.083896,0,0.83105,2256,1334
EasyOCR,100,37%,24%,0.257078,0.073876,0.785832,0.62,0.58,0.257532,0.150376,0.986765,63%,38%,230620,41463,106669,29312,21135,24733,60801,2578,3735,22999,19.81,23.19,57,8.8,12.74,78.46,13%,0.104082,0.280707,20782,19838,0.061219,0.183946,0.585499,7586,6825,-3.58149,-1.029412,9.025696,593,1225,28%,0.247879,0.163924,0.008632,0.786373,8.00%,0.078653,0.024838,0.012987,0.157895,3114,2855
Tesseract,100,14%,10%,0.140483,0.000754,0.728994,0.38,0.34,0.192303,0.008772,0.965789,86%,62%,230620,41463,35722,16532,8578,10089,17055,1736,2351,12445,24.01,28.24,47.74,10.5,14.22,75.28,41%,0.438567,0.23604,20782,12783,0.479751,0.541476,0.263232,7586,3900,-0.298306,0.066964,1.848036,593,446,43%,0.453472,0.171783,0.06772,0.984578,7.00%,0.06157,0.04967,0,0.27451,3018,2762
MinerU,100,10%,7%,0.114216,0.007536,0.865096,0.22,0.19,0.110768,0.02193,0.717514,90%,78%,230620,41463,26610,10001,6264,12970,7376,974,2884,6143,23.54,48.74,27.72,9.74,28.84,61.42,62%,0.645751,0.152751,20782,8527,0.630084,0.666667,0.211776,7586,2822,-0.297074,0,1.988177,593,554,62%,0.64495,0.134086,0.260596,0.971226,4.00%,0.035251,0.035671,0,0.250941,1848,1361
Kraken,99,8%,3%,0.129775,0.004521,0.929231,0.18,0.12,0.160672,0.017544,1,92%,82%,227410,40889,20542,7729,6080,6797,7665,1223,1513,4993,29.6,33.09,37.31,15.82,19.58,64.6,72%,0.76,0.21563,20517,6292,0.695323,0.76,0.210342,7567,2235,0.029048,0.478261,1.463035,590,423,73%,0.774259,0.162045,0,0.965677,4.00%,0.031818,0.024139,0,0.183223,1471,1379
Chandra-Home,100,7%,4%,0.103213,0.00572,0.961456,0.12,0.1,0.075446,0.026316,0.490683,93%,88%,230620,41463,15834,5282,4324,9528,1982,361,2314,2607,27.31,60.17,12.52,6.83,43.81,49.36,80%,0.816887,0.111579,20782,4450,0.733263,0.77535,0.184376,7586,1901,0.156513,0.266667,0.84645,593,311,0.800863,0.82836,0.112767,0.387786,0.960125,3.00%,0.025096,0.023816,0,0.158915,1096,1010
OlmOCRv1,99,6%,3%,0.079205,0.008289,0.51287,0.12,0.1,0.095182,0.026316,0.602484,94%,88%,226160,40715,15789,5224,1609,12501,1679,271,2750,2203,10.19,79.18,10.63,5.19,52.64,42.17,82%,0.841463,0.099999,20418,4144,0.779029,0.833333,0.168182,7377,1675,0.280851,0.2,0.493444,590,255,81%,0.845081,0.12154,0.272232,0.960125,3.00%,0.019608,0.01865,0,0.083333,1068,1008
OlmOCRv2,100,6%,3%,0.110725,0.008172,0.899358,0.12,0.09,0.104643,0.026316,0.670807,94%,88%,230620,41463,16679,5386,2932,11346,2401,326,2584,2476,17.58,68.03,14.4,6.05,47.98,45.97,81%,0.842607,0.127356,20782,4300,0.781775,0.833333,0.165072,7586,1730,0.305804,0.291667,0.480867,593,235,82%,0.849507,0.117313,0.25667,0.960125,2.00%,0.017311,0.018169,0,0.12069,955,894
Transkribus,100,11%,3%,0.214276,0.000929,0.775459,0.16,0.06,0.256047,0.003802,0.936765,89%,84%,230620,41463,37458,9002,6561,12217,18680,1858,2620,4524,17.52,32.62,49.87,20.64,29.1,50.26,80%,0.910101,0.271349,20782,5538,0.805881,0.907192,0.257586,7586,2148,0.528192,0.966667,1.05199,593,209,86%,0.905423,0.132378,0.042756,0.99619,2.00%,0.011858,0.017176,0,0.109312,645,561
Gemini,99,6%,4%,0.087977,0.000812,0.823472,0.19,0.18,0.102584,0.004902,0.850032,94%,81%,225153,40522,21521,8778,2122,13239,6160,431,2474,5873,9.86,61.52,28.62,4.91,28.18,66.91,67%,0.666667,0.123872,20335,7447,0.718588,0.733333,0.160533,7331,2419,0.845084,1,0.242999,591,75,64%,0.633169,0.128159,0.008758,0.987608,1.00%,0.007576,0.009063,0,0.043307,435,413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
