OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
Gemini,1650-1674,11,9%,7%,6%,22%,20%,6%,60%,62%,6%,1%,1%,1%
DeepSeek,1650-1674,11,12%,10%,7%,23%,19%,9%,61%,62%,10%,5%,5%,1%
MinerU,1650-1674,11,12%,10%,7%,26%,22%,9%,56%,58%,12%,5%,5%,2%
Tesseract,1650-1674,11,20%,15%,12%,49%,47%,14%,32%,31%,11%,10%,9%,4%
EasyOCR,1650-1674,11,51%,65%,25%,78%,90%,18%,16%,16%,8%,8%,8%,1%
OlmOCRv2,1675-1699,21,6%,5%,4%,11%,10%,5%,82%,83%,8%,2%,2%,2%
OlmOCRv1,1675-1699,21,6%,5%,4%,11%,11%,5%,81%,81%,8%,3%,2%,1%
Chandra-Home,1675-1699,21,6%,5%,4%,11%,10%,5%,81%,83%,8%,3%,3%,2%
Kraken,1675-1699,21,6%,3%,7%,17%,12%,14%,72%,77%,16%,4%,4%,3%
Gemini,1675-1699,20,6%,6%,3%,18%,18%,4%,64%,65%,6%,1%,1%,1%
MinerU,1675-1699,21,12%,9%,12%,24%,21%,13%,60%,63%,12%,4%,4%,2%
Transkribus,1675-1699,21,19%,4%,28%,25%,6%,34%,85%,90%,12%,2%,1%,2%
DeepSeek,1675-1699,21,18%,8%,36%,34%,21%,59%,60%,64%,19%,4%,4%,2%
Tesseract,1675-1699,21,18%,11%,18%,43%,40%,19%,38%,37%,12%,9%,8%,4%
EasyOCR,1675-1699,21,53%,71%,24%,78%,92%,20%,20%,19%,10%,9%,8%,2%
Chandra-Home,1700-1724,12,8%,4%,7%,10%,9%,5%,84%,84%,6%,2%,2%,2%
OlmOCRv2,1700-1724,12,6%,4%,5%,11%,9%,7%,83%,87%,9%,2%,2%,2%
OlmOCRv1,1700-1724,12,9%,4%,12%,14%,9%,12%,79%,84%,15%,3%,2%,2%
Gemini,1700-1724,12,6%,5%,3%,17%,18%,4%,67%,67%,6%,1%,1%,1%
MinerU,1700-1724,12,8%,7%,5%,17%,17%,4%,68%,67%,6%,4%,3%,1%
Kraken,1700-1724,12,5%,4%,3%,18%,18%,7%,69%,70%,12%,5%,4%,2%
Transkribus,1700-1724,12,15%,5%,25%,21%,6%,32%,86%,92%,10%,2%,1%,1%
DeepSeek,1700-1724,12,12%,6%,19%,24%,16%,25%,66%,69%,24%,3%,4%,1%
Tesseract,1700-1724,12,13%,10%,10%,38%,36%,16%,42%,44%,14%,9%,8%,5%
EasyOCR,1700-1724,12,42%,27%,25%,69%,63%,24%,23%,17%,12%,9%,10%,3%
OlmOCRv1,1725-1749,11,4%,2%,3%,9%,8%,4%,87%,87%,5%,2%,1%,1%
Transkribus,1725-1749,12,9%,1%,20%,11%,4%,21%,86%,95%,25%,1%,1%,2%
Chandra-Home,1725-1749,12,4%,2%,4%,11%,10%,7%,82%,83%,12%,4%,3%,4%
OlmOCRv2,1725-1749,12,7%,2%,14%,12%,8%,16%,83%,87%,18%,2%,1%,3%
Kraken,1725-1749,12,6%,2%,6%,14%,10%,8%,78%,81%,10%,3%,3%,2%
Gemini,1725-1749,12,5%,4%,3%,19%,19%,5%,64%,63%,6%,1%,1%,1%
MinerU,1725-1749,12,9%,4%,8%,20%,16%,9%,67%,68%,8%,4%,4%,1%
DeepSeek,1725-1749,12,12%,3%,19%,22%,11%,23%,71%,79%,23%,4%,2%,6%
Tesseract,1725-1749,12,10%,8%,6%,31%,29%,11%,49%,50%,11%,7%,6%,5%
EasyOCR,1725-1749,12,24%,21%,16%,47%,40%,19%,37%,39%,11%,7%,7%,2%
Transkribus,1750-1774,13,2%,1%,2%,5%,3%,5%,91%,93%,7%,1%,1%,1%
OlmOCRv2,1750-1774,13,2%,2%,1%,9%,8%,4%,84%,86%,9%,2%,2%,2%
OlmOCRv1,1750-1774,13,3%,3%,1%,10%,9%,5%,83%,85%,9%,3%,2%,2%
Kraken,1750-1774,13,3%,2%,2%,12%,11%,7%,77%,78%,12%,3%,3%,1%
Chandra-Home,1750-1774,13,4%,3%,2%,13%,11%,5%,77%,82%,11%,4%,3%,3%
DeepSeek,1750-1774,13,5%,5%,1%,18%,18%,5%,65%,64%,10%,4%,4%,2%
MinerU,1750-1774,13,6%,6%,2%,19%,19%,4%,64%,64%,9%,4%,4%,2%
Gemini,1750-1774,13,4%,4%,1%,19%,19%,4%,61%,60%,8%,1%,1%,1%
Tesseract,1750-1774,13,8%,6%,3%,30%,29%,7%,46%,49%,9%,6%,6%,3%
EasyOCR,1750-1774,13,19%,20%,6%,47%,43%,13%,32%,36%,11%,7%,7%,2%
Transkribus,1775-1799,14,3%,1%,4%,7%,4%,8%,88%,90%,10%,2%,1%,3%
OlmOCRv1,1775-1799,14,3%,2%,2%,9%,7%,4%,85%,89%,9%,1%,1%,1%
OlmOCRv2,1775-1799,14,3%,2%,2%,10%,7%,6%,84%,88%,10%,2%,1%,2%
Chandra-Home,1775-1799,14,4%,2%,6%,10%,7%,8%,84%,88%,11%,2%,1%,3%
Gemini,1775-1799,14,3%,3%,1%,17%,16%,6%,64%,63%,13%,1%,1%,0%
Kraken,1775-1799,14,10%,3%,23%,18%,13%,24%,74%,80%,22%,2%,2%,1%
MinerU,1775-1799,14,6%,5%,5%,19%,18%,8%,64%,65%,14%,3%,3%,1%
Tesseract,1775-1799,14,7%,5%,7%,29%,22%,18%,51%,55%,18%,5%,3%,6%
EasyOCR,1775-1799,14,16%,17%,6%,39%,41%,11%,40%,38%,15%,6%,6%,3%
DeepSeek,1775-1799,14,9%,3%,21%,63%,10%,187%,73%,83%,23%,8%,3%,21%
Transkribus,1800-1824,7,3%,1%,5%,6%,4%,8%,89%,92%,10%,1%,1%,1%
Kraken,1800-1824,6,7%,1%,11%,12%,6%,15%,83%,87%,13%,2%,2%,1%
Chandra-Home,1800-1824,7,15%,2%,33%,12%,6%,15%,82%,90%,18%,2%,2%,1%
Gemini,1800-1824,7,4%,1%,8%,14%,2%,21%,81%,97%,23%,1%,0%,1%
OlmOCRv1,1800-1824,7,5%,2%,10%,14%,6%,19%,82%,91%,18%,2%,2%,1%
OlmOCRv2,1800-1824,7,14%,2%,31%,15%,6%,21%,83%,91%,17%,2%,2%,1%
DeepSeek,1800-1824,7,19%,1%,30%,16%,8%,17%,79%,86%,20%,2%,1%,1%
MinerU,1800-1824,7,19%,2%,30%,18%,10%,16%,74%,82%,20%,1%,1%,1%
Tesseract,1800-1824,7,7%,2%,7%,20%,13%,17%,70%,74%,21%,4%,3%,4%
EasyOCR,1800-1824,7,16%,12%,8%,31%,27%,14%,53%,54%,16%,6%,6%,2%
