OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
OlmOCRv2,1600-1624,5,9%,10%,3%,17%,16%,5%,71%,71%,7%,4%,3%,1%
Chandra-Home,1600-1624,5,9%,11%,4%,19%,18%,5%,70%,69%,6%,3%,3%,1%
Gemini,1600-1624,5,9%,9%,6%,23%,22%,7%,57%,58%,7%,1%,1%,1%
OlmOCRv1,1600-1624,5,17%,9%,17%,26%,19%,16%,61%,66%,19%,6%,6%,2%
Transkribus,1600-1624,5,20%,11%,24%,29%,23%,29%,75%,74%,11%,2%,2%,0%
MinerU,1600-1624,5,15%,15%,7%,34%,34%,10%,43%,42%,11%,9%,5%,8%
Kraken,1600-1624,5,19%,13%,20%,36%,33%,23%,56%,49%,16%,5%,5%,2%
DeepSeek,1600-1624,5,24%,15%,23%,39%,32%,20%,41%,47%,20%,5%,4%,1%
Tesseract,1600-1624,5,29%,25%,23%,59%,60%,23%,29%,23%,13%,9%,8%,5%
EasyOCR,1600-1624,5,58%,73%,22%,86%,95%,15%,9%,7%,6%,7%,6%,2%
OlmOCRv1,1625-1649,5,8%,7%,3%,14%,15%,5%,77%,76%,7%,4%,4%,2%
OlmOCRv2,1625-1649,5,8%,7%,4%,15%,14%,7%,76%,77%,10%,3%,3%,1%
Chandra-Home,1625-1649,5,9%,7%,4%,18%,13%,9%,71%,77%,13%,3%,2%,1%
Kraken,1625-1649,5,20%,16%,19%,31%,25%,21%,67%,66%,12%,4%,4%,1%
Gemini,1625-1649,5,23%,8%,30%,34%,21%,26%,48%,60%,24%,1%,0%,0%
DeepSeek,1625-1649,5,18%,14%,12%,35%,37%,14%,50%,46%,10%,6%,6%,2%
MinerU,1625-1649,5,14%,11%,6%,35%,39%,12%,49%,50%,9%,11%,10%,8%
Transkribus,1625-1649,5,36%,35%,30%,46%,45%,36%,81%,87%,12%,2%,1%,1%
Tesseract,1625-1649,5,30%,24%,17%,59%,54%,17%,28%,29%,13%,8%,8%,4%
EasyOCR,1625-1649,5,74%,74%,0%,94%,94%,1%,10%,13%,6%,6%,6%,1%
Transkribus,1650-1674,11,8%,6%,7%,11%,9%,7%,87%,88%,6%,2%,1%,2%
OlmOCRv1,1650-1674,11,9%,7%,7%,14%,13%,8%,79%,79%,9%,3%,3%,2%
Chandra-Home,1650-1674,11,9%,8%,6%,15%,12%,7%,78%,82%,9%,3%,3%,2%
OlmOCRv2,1650-1674,11,10%,7%,12%,16%,12%,14%,78%,81%,10%,2%,2%,1%
Kraken,1650-1674,11,9%,4%,9%,20%,15%,12%,69%,72%,15%,4%,3%,3%
