OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
OlmOCR-Ensemble,1600-1624,5,0.138475,0.079834,0.175128,0.197195,0.152941,0.177191,0.696298,0.729691,0.217727,0.047837,0.062500,0.025529
OlmOCR-Ensemble,1625-1649,5,0.038863,0.018174,0.034909,0.104218,0.072539,0.070974,0.818074,0.843417,0.099016,0.034644,0.037500,0.015061
OlmOCR-Ensemble,1650-1674,11,0.055323,0.032338,0.064562,0.097157,0.070423,0.068388,0.843033,0.861489,0.066875,0.022565,0.023753,0.009767
OlmOCR-Ensemble,1675-1699,21,0.027359,0.014427,0.026274,0.068445,0.048718,0.049889,0.871908,0.901445,0.084180,0.020176,0.012887,0.016716
OlmOCR-Ensemble,1700-1724,12,0.069278,0.020999,0.127405,0.113116,0.057204,0.133437,0.825940,0.892699,0.174580,0.022766,0.011190,0.023370
OlmOCR-Ensemble,1725-1749,11,0.031910,0.016696,0.034648,0.057185,0.043243,0.039442,0.910633,0.911243,0.038911,0.009059,0.005587,0.009918
OlmOCR-Ensemble,1750-1774,13,0.023246,0.018117,0.013571,0.064026,0.054217,0.048355,0.879617,0.903893,0.092034,0.014438,0.011194,0.014417
OlmOCR-Ensemble,1775-1799,14,0.015653,0.013877,0.012676,0.041710,0.030023,0.030292,0.936341,0.955644,0.058086,0.004331,0.005236,0.004190
OlmOCR-Ensemble,1800-1824,7,0.048139,0.008302,0.098233,0.111179,0.026432,0.209954,0.875210,0.953243,0.200088,0.007594,0.008929,0.008363
