author,year,title,source,ocr_status
Anonymous,1638,"Cuckolds haven or, The marry'd mans miserie who must abide the penaltie of being hornify'd hee unt",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1639,"Diatelesma. comprehending the principall actions of Germany, France, Spaine, and the Neatherlands, c",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1640,"A very lively portrayture, of the most reverend arch-bishops, the right reverend bs. of the Church o",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1640,"Theatrum botanicum = The theater of plants. Or, An herball of a large extent containing therein a m",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1641,"The East-India trade a true narration of divers ports in East-India, of the commodities and trade on",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1641,The Passionate remonstrance made by His Holinesse in the conclave at Rome upon the late proceedings,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1641,"The Tragedy of Phillis, complaining of the disloyall love of Amintas. To a new court tune.",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1641,The first and large petition of the Citie of London and other inhabitants thereabouts for a reforma,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1642,Speciall and late passages from the most eminent places in Christendome containing amongst others t,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1643,"A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1643,"An abstract of some late characters. Or, how the principall means appointed for our reformation is b",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1643,"Englands alarm to vvar against the Beast by command from heaven, and his Israels example upon earth",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1643,Records of things done in Parliament (without the Kings consent) of higher consequence then have yet,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1643,"The Humerous tricks and conceits of Prince Roberts Malignant she-monkey, discovered to the world bef",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1643,"The round-heads catechisme or the netwer catechising the Anabaptists Puritans, seperatists, and well",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1644,Considerations touching the excise of native and forreign commodities (as formerly established) as a,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1645,"Newes from Smith the Oxford jaylor. With the arraignment of Mercurius Aulicus, who is sentenced to s",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1646,"A reply to a letter printed at Newcastle vnder the name of an answer, sent to the ecclesiasticall As",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1646,"A sea-fight two ships taken by Captain Southwood, and Captain Faulkner. Prince Chares [sic] his let",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,"A declaration of some proceedings of Lt. Col. Iohn Lilburn, and his associates with some examinatio",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,"A fraction in the assembly or the synod in armes being a punctuall relation of their set meeting, u",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,"A letter from the navy vvith the Earle of Warwick, Lord Admirall from Hellevoyt Sluice, Novemb. 24.",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,A looking-glasse for the vvell-affected in the city of London. Wherein they may behold those dangers,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,"Dulman turn'd doctor, councelling his brother Dunce how to peerk to preferment.",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,"Reasons shewing that the desires of the cloathiers, and vvoollen manufacturers of England expressed",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,The British bell-man,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1648,"The Parliaments dreames interpreted, or, The House of Commons spirituall imaginations, digested into",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1649,"The famous tragedie of King Charles I basely butchered by those who are, omne nesas proni patare pud",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1650,"A dialogue between Mistris Macquerella, a suburb bawd, Ms Scolopendra, a noted curtezan, and Mr Pimp",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1650,"A new sonnet, shewing how the goddesse Diana transformed Acteon into the shape of an Hart. To the tu",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1650,An acco[un]t of the unavoidable charge and the meanes to prevent it with safely in case of a warr wi,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1651,A black almanack or Predictions and astronimonicall observations foreshewing what will happen to the,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1651,"A list of all the victories, and successefull atchievements of the Parliaments fleet under the comma",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1651,An Abstract or brief declaration of the present state of His Majesties revenew with the assignations,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1652,"A Hermeticall banquet, drest by a spagiricall cook for the better preservation of the microcosme.",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1652,"A list of the ships taken by the fleet of the Common-wealth of England, since the late engagement of",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1652,"The Voyages & travels of that renowned captain, Sir Francis Drake, into the West-Indies, and round t",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1652,"The humble proposals of Mr. Owen, Mr. Tho. Goodwin, Mr. Nye, Mr. Sympson, and other ministers, who p",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1653,"A Book of fruits & flovvers. Shewing the nature and use of them, either for meat or medicine. As als",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1653,"Another great victorie obtained by Vice-Admiral Pen against the Hollanders, since the last great and",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1653,Sir Francis Drake revived who is or may be a pattern to stirre up all heroicke and active spirits of,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1654,A Brief and true remonstrance of the illegal proceedings of Roger Osburn (an Irish man born) governo,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1654,"The ladies cabinet enlarged and opened containing many rare secrets, and rich ornaments of several",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1655,Natura exenterata or Nature unbowelled by the most exquisite anatomizers of her. Wherein are contai,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1656,"A Book of fruits and flowers shewing the nature and use of them, either for meat or medicine  as al",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1656,"Parnassus biceps. Or Severall choice pieces of poetry, composed by the best wits that were in both t",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1656,"The compleat doctoress or, A choice treatise of all diseases insident to women. With experimentall",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1657,"A Physical dictionary, or, An Interpretation of such crabbed words and terms of arts, as are deriv'd",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1657,"A book of the continuation of forreign passages That is, of the peace made between this Common-wealt",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1657,"A brief relation or remonstrance of the injurious proceedings and inhumane cruelties of the Turks, p",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1657,An invective against the pride of vvomen.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1658,A pleasant song made by a souldier whose bringing up had been dainty and partly by those affections,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1659,A Short method of physick shewing the cure of fourty-five severall diseases which are the generall a,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1659,Englands present case stated ... partly occasioned by the late proclamation for the convening of a P,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1659,Forraign and domestick prophesies both antient and modern. Fore-telling the several revolutions whi,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1659,"London's nevv wonder Or, The great sleeper being a strange, but true relation, of the first, secon",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1659,The London chaunticleres a witty comoedy full of various and delightfull mirth.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1659,"The Queens closet opened incomparable secrets in physick, chyrurgery, preserving, and candying &c. w",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1660,"By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1660,"The perfect and experienced farrier. Being necessary for all gentlemen-troopers, farmers, farriers,",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1660,"The wandering whore continued A dialogue between Magdalena, a crafty bawd, Julietta, an exquisite w",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1662,A Brief narration of the imprisonment of Mr. Francis Bampfield ... with Mr. Phillips (his assistant),EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1662,"Gratiae theatrales, or, A choice ternary of English plays composed upon especial occasions by severa",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1663,"A new ballad; declaring The excellent parable of the prodigal child. To the tune of, The wanton wife",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1663,"Hey ho hunt about. Or, A pretty merry meeting of young men and maids, who went to the tavern by Cupi",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1663,"The Art of chirurgery explained in six parts part I. Of tumors, in forty six chapters, part II. Of u",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1663,"The Vertues of coffee set forth in the works of [brace] the Lord Bacon his Natural hist., Mr. Parkin",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1664,A catalogue of the damages for which the English demand reparation from the United-Netherlands as al,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1664,"The Court & kitchin of Elizabeth, commonly called Joan Cromwel the wife of the late usurper, truly d",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1664,"The method of chemical philosophie and physick. Being a brief introduction to the one, and a true di",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1665,"Alotments of goods to be sold by the Company of Royal Adventures of England Trading into Africa, at",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1665,Certain necessary directions as well for the cure of the plague as for preventing the infection with,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1665,"The Golden coast, or, A description of Guinney 1. In it's air and situation, 2. In the commodities i",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1665,"The patient hushand [sic], and the scoulding vvife shewing how he doth complain of hard fortune he h",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1665,"The patient hushand [sic], and the scoulding vvife, shewing how he doth complain of hard fortune he",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1668,A Hue and cry after the devil for stealing away mens consciences,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1668,"A Map of the whole world, or, The Orb terrestrial in four parts, (viz.) Asia, Europe [double brace]",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1668,"Interest of money mistaken, or, A treatise proving that the abatement of interest is the effect and",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1668,"The strange monster or, true news from Nottingham-shire of a strange monster born at Grasly in Notti",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1669,"The New academy of complements erected for ladies, gentlewomen, courtiers, gentlemen, scholars, soul",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1670,"A lover complementing his mistriss, to the tune of, She's sweet like sugarcandie.",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1670,"A new sonnet, shewing how the goddess Diana transformed Acteon into the shape of a hart. to a new tu",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1670,"A proper new ballad, being the regrate of a true lover, for his mistriss unkindnesse. To a new tune,",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1670,"Elixir magnum vitæ or, the great elixir of life, being the most admirable cordial-drink, and its si",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1670,"The new balovv or, A wenches lamentation for the loss of her sweet-heart he having left her with a",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1670,The scolding wife to a pleasant new tune.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1670,[A fruteful] and learned sermon preached in London; by a most worthy and faithful minister of Chrsit,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1671,"Reasons humbly offered, by the refiners of sugar in England, for the proportion of four upon white,",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1671,"The case of the refiners of sugar in England, stated.",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1671,The case of the refiners of sugar in England.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1672,"A Description of the island of Jamaica with the other isles and territories in America, to which the",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1672,A True relation of the inhumane and unparallel'd actions and barbarous murders of Negroes or Moors c,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1672,"Covent Garden drolery, or A colection [sic] of all the choice songs, poems, prologues, and epilogues",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1672,"The last, and now only, compleat collection, of the newest and choisest songs and poems, that are no",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1673,A Looking-glass for children being a narrative of God's gracious dealings with some little children,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1674,A New collection of poems and songs written by several persons ; never printed before.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1674,The English and French cook describing the best and newest ways of ordering and dressing all sorts o,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1674,True lovers victory or The northen [sic] couple agreed. With sugred words and smiling looks he did c,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1675,"Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1675,"The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1675,The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1676,"A Book containing the several rates for wharfage and cranage, to be taken and paid at the wharfs and",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1676,"Great newes from the Barbadoes, or, A True and faithful account of the grand conspiracy of the Negro",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1676,"The right, pleasant, and variable tragical history of Fortunatus. whereby a young man may learn how",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1676,"The touchstone, or, Trial of tobacco whether it be good for all constitutions  with a word of advic",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1676,Wonderful news from Bristol,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1677,"A True narrative of the proceedings at the sessions-house in the Old-Bayley, December 12, 13, 14, &",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1677,"A list of several ships belonging to English merchants, taken by French privateers since December, o",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1677,"The Batchellors banquet, or, A banquet for batchellors wherein is prepared sundry dainty dishes to f",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1677,The Case of His Majesties Plantations,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1677,The case of His Majesties sugar plantations.,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1678,"Melpomene or, The muses delight Being new poems and songs. Written by several of the great wits of",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1678,"Parthenia's complaint. Or, The forsaken sheperdess. The falsehood of young men she doth discover, by",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1678,Whereas the Portugal trade is very advantageous to this nation because it doth annually consume a gr,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1679,The Great robbery in Hatton-garden a true account how about twenty thieves on Sunday the 29th of Dec,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,A Full and true relation of two very remarkable tryals at the quarter-sessions of the peace for the,EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"A Seasonble [sic] warning to Protestants from the cruelty and treachery of the Parisian massacre, Au",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"The Country-mans physician where is shew'd by a most plain and easie manner, how those that live for",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"The Famous tragedy of King Charles I as it was acted before White-hall, by the fanatical servants of",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"The Interest of the three kingdoms, with respect to the business of the black box, and all the other",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"The Merry maid of Shoreditch, her resolution and good counsel to all her fellow maids; and says that",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"The Merry wives of Wapping, or, The Seaman's wives clubb each one her husbands absence doth bemoan,",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"The Muse of New-market, or, Mirth and drollery being three farces acted before the King and court at",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1680,"The nations interest, in relation to the pretentions of His Royal Highness, the Duke of York, &c. di",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
Anonymous,1681,"The Allegations of the Turky Company and others against the East-India-Company, relating to the mana",EEBO (ProQuest / EEBO-TCP),OCR withheld pending librarian review
