OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
Chandra-Home,1600-1624,5,0.094245,0.106648,0.040288,0.185135,0.179894,0.052071,0.697390,0.690911,0.058343,0.034835,0.032258,0.005240
Chandra-Home,1625-1649,5,0.086025,0.066247,0.042688,0.179866,0.133172,0.093158,0.706694,0.771773,0.134683,0.027357,0.024922,0.010682
Chandra-Home,1650-1674,11,0.094334,0.077458,0.055825,0.150510,0.118677,0.070211,0.775511,0.815114,0.093867,0.033113,0.026316,0.023969
Chandra-Home,1675-1699,21,0.059917,0.052314,0.035527,0.114297,0.104651,0.045026,0.811137,0.830391,0.080470,0.032508,0.031496,0.015643
Chandra-Home,1700-1724,12,0.076373,0.038111,0.070439,0.104341,0.092268,0.049737,0.842864,0.843328,0.063883,0.023169,0.019654,0.015996
Chandra-Home,1725-1749,12,0.042632,0.023426,0.038704,0.113071,0.097210,0.065208,0.821806,0.829868,0.122444,0.036636,0.026641,0.039248
Chandra-Home,1750-1774,13,0.040564,0.032016,0.020390,0.127015,0.110778,0.051201,0.773358,0.817698,0.106482,0.035435,0.030702,0.026056
Chandra-Home,1775-1799,14,0.038544,0.022190,0.056167,0.101477,0.072770,0.076360,0.837407,0.877767,0.105578,0.022527,0.011228,0.026241
Chandra-Home,1800-1824,7,0.149567,0.015497,0.331468,0.122788,0.064516,0.152004,0.821137,0.898208,0.182714,0.016582,0.016722,0.009542
