Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1_page_001.xml,EasyOCR,0.157729,0.378947,75,101,74,14,12,82,1585,285
Anonymous - 1766 - The privileges of the island of jamaica vindicated_page_64_page_001.xml,EasyOCR,0.123697,0.342105,56,51,71,18,7,66,1439,266
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_page_7_page_001.xml",EasyOCR,0.147443,0.388027,140,134,121,30,26,119,2679,451
Anonymous - 1768 - Letters from a farmer in pennsylvania_page_74_page_001.xml,EasyOCR,0.218665,0.434028,137,109,75,29,17,79,1468,288
Anonymous - 1789 - Notes on the two reports from the committee of the honourable house of assembly of Jamaica_page_32_page_001.xml,EasyOCR,0.206400,0.426540,98,106,54,17,14,59,1250,211
Anonymous - 1792 - Bristol an abstract of the city charter_page_32_page_001.xml,EasyOCR,0.280669,0.452261,121,134,47,21,23,46,1076,199
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15_page_001.xml,EasyOCR,0.150376,0.330435,67,78,55,13,13,50,1330,230
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1_page_001.xml",EasyOCR,0.082895,0.150376,30,26,7,7,4,9,760,133
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7_page_001.xml,EasyOCR,0.285339,0.409836,193,197,44,37,34,54,1521,305
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243_page_001.xml,EasyOCR,0.080633,0.188596,40,48,19,5,9,29,1327,228
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9_page_001.xml",EasyOCR,0.711180,0.937107,1869,1781,243,340,322,232,5474,954
"Anonymous and Kilkenny - 1643 - Orders establisht in the popish generall assembly, held (under the specious pretence of supreme auth_page_5_page_001.xml",EasyOCR,0.749275,0.942989,399,366,2077,4,37,571,3793,649
Baker - 1775 - An essay on the art of making Moscavado sugar wherein a new process is proposed_page_1_page_001.xml,EasyOCR,0.162080,0.413462,61,66,138,10,10,109,1635,312
Banks - 1699 - The unhappy favourite_page_37_page_001.xml,EasyOCR,0.324631,0.653846,378,88,193,86,14,155,2030,390
