Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
Janssen - 1713 - General Maxims in Trade_page_26_page_001.xml,Tesseract,0.100000,0.424460,60,14,72,5,28,85,1460,278
"Kent - 1687 - A choice manual, or Rare secrets in physick and chirurgery collected, & practised by the Right Hono_page_106_page_001.xml",Tesseract,0.178378,0.457045,47,101,149,12,15,106,1665,291
Leslie - 1740 - A new and exact account of Jamaica_page_184_page_001.xml,Tesseract,0.135357,0.406926,90,20,55,27,8,59,1219,231
Ligon - 1657 - A True and Exact history of the island of barbados_page_47_page_001.xml,Tesseract,0.096593,0.375987,85,101,140,27,55,156,3375,633
"Long - 1774 - The history of Jamaica, or, general survey of the antient and modern state of that island_page_1_page_001.xml",Tesseract,0.068406,0.305439,28,20,146,5,12,129,2836,478
"Marnettè - 1656 - The perfect cook being the most exact directions for the making all kinds of pastes, with the perfec_page_97_page_001.xml",Tesseract,0.169021,0.500000,119,77,127,15,41,138,1911,388
"Morley - 1653 - A Vindication of that righteous principle of the doctrine of Christ, called laying on of hands upon_page_26_page_001.xml",Tesseract,0.158758,0.476082,145,78,145,21,43,145,2318,439
Moseley and Moseley - 1799 - A treatise on sugar_page_103_page_001.xml,Tesseract,0.063021,0.289474,12,0,56,7,0,48,1079,190
"Mullinax - 1660 - Symplegades antrum, or the rumpant story impartially relating their tyrannical dealings, and clymacterial downfall_page_16_page_001.xml",Tesseract,0.136706,0.468813,190,31,160,35,30,168,2787,497
Norwood - 1753 - An account of some particulars_page_1_page_001.xml,Tesseract,0.062982,0.284010,6,32,109,1,11,107,2334,419
Ogilby - 1671 - America_page_399_page_001.xml,Tesseract,0.083746,0.288835,41,52,110,8,12,99,2424,412
Priestley - 1788 - A sermon on the subject of the slave trade_page_29_page_001.xml,Tesseract,0.036620,0.205405,3,1,35,0,2,36,1065,185
Prinsep - 1792 - The right in the West-India merchants to a double monopoly of the sugar market of Great Britain_page_1_page_001.xml,Tesseract,0.071154,0.250000,19,21,34,6,5,36,1040,188
Prinsep - 1794 - Bengal Sugar. An account of the method and expence of cultivating the sugar-cane in Bengal_page_1_page_001.xml,Tesseract,0.304029,0.867347,200,5,127,59,0,111,1092,196
Purchas - 1614 - Purchas his pilgrimage_page_484_page_001.xml,Tesseract,0.155579,0.433492,152,350,251,26,100,239,4840,842
"Robertson - 1736 - The speech of Mr John Talbot Campo-bell, a free christian negro to his countrymen in the mountains of jamaica_page_47_page_001.xml",Tesseract,0.056433,0.212000,23,7,45,7,3,43,1329,250
"Sheffeild - 1650 - A good conscience the strongest hold. A treatise of conscience, handling the nature acts offices use_page_109_page_001.xml",Tesseract,0.353323,0.668421,352,554,237,65,111,205,3235,570
"Spire - 1698 - The natures, uses, & doses of several approved and experienced medicines, faithfully prepared by Joh_page_7_page_001.xml",Tesseract,0.264970,0.549683,162,356,190,42,68,150,2672,473
Starkey - 1658 - Natures explication and Helmont's vindication. Or A short and sure way to a long and sound life bei_page_101_page_001.xml,Tesseract,0.321470,0.711921,181,131,239,21,25,169,1714,302
"Stow - 1633 - The survey of London containing the original, increase, modern estate and government of that city, m_page_250_page_001.xml",Tesseract,0.226361,0.537419,471,854,741,100,192,541,9127,1550
"Stubbe - 1662 - The Indian Nectar, or a discourse concerning chocolata_page_105_page_001.xml",Tesseract,0.114365,0.442804,33,49,82,7,23,90,1434,271
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27_page_001.xml,Tesseract,0.018232,0.087558,12,3,5,2,3,14,1097,217
Tryon - 1684 - Friendly advice to the gentle-man planters of the east and west indies_page_112_page_001.xml,Tesseract,0.090323,0.406977,17,9,58,2,7,61,930,172
"Vaughan - 1612 - Approved directions for health, both naturall and artificiall deriued from the best physitians as we_page_41_page_001.xml",Tesseract,0.729980,0.977961,386,333,776,64,56,235,2048,363
Walwyn - 1646 - A word in season to all sorts of wel minded people in this miserably distracted and distempered nat_page_5_page_001.xml,Tesseract,0.194030,0.513854,121,171,150,22,52,130,2278,397
"Williams - 1750 - An essay on the bilious, or yellow fever of jamaica_page_28_page_001.xml",Tesseract,0.084016,0.289474,20,47,56,12,9,56,1464,266
Windham - 1804 - Facts better than arguments_page_99_page_001.xml,Tesseract,0.021104,0.127451,18,0,8,4,3,19,1232,204
Woods - 1784 - Thoughts on the slavery of the negroes_page_1_page_001.xml,Tesseract,0.034714,0.180645,2,0,29,1,1,26,893,155
"Worthington - 1620 - The ground of a Christians life Deliuered in a sermon at Harwood in Lancashire, the first day of Dec_page_22_page_001.xml",Tesseract,0.267432,0.628378,197,139,316,21,43,215,2438,444
Wright - 1777 - Description of the Jesuits bark tree of Jamaica and the Caribbes_page_3_page_001.xml,Tesseract,0.065722,0.337079,4,0,47,0,0,30,776,89
Young - 1807 - The West-India Common-place Book_page_149_page_001.xml,Tesseract,0.082441,0.316770,38,32,7,1,6,44,934,161
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3.xml",Transkribus,0.337573,0.441718,166,134,921,142,133,13,3617,652
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2.xml.xml",Transkribus,0.053797,0.124031,107,2,10,39,1,8,2212,387
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53_page_001.xml",Transkribus,0.001570,0.002894,3,3,0,1,1,0,3822,691
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102.xml",Transkribus,0.726421,0.856698,404,378,458,84,79,112,1707,321
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8.xml,Transkribus,0.736243,0.927907,295,278,979,61,54,284,2108,430
Anonymous - 1676 - Wonderful news from Bristol_page_5.xml,Transkribus,0.007550,0.040000,1,1,7,1,0,8,1192,225
Anonymous - 1677 - The Case of His Majesties Plantations_page_3.xml,Transkribus,0.004648,0.028939,0,1,7,1,0,8,1721,311
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10.xml",Transkribus,0.004876,0.021534,1,7,12,1,1,14,4102,743
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1.xml,Transkribus,0.038938,0.051402,46,47,39,8,8,17,3390,642
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122.xml,Transkribus,0.706449,0.861809,246,190,1032,61,50,232,2078,398
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1.xml,Transkribus,0.032258,0.058824,10,11,5,2,1,6,806,153
Anonymous - 1693 - [A bond given to the captain of every ship by the seamen]_page_1.xml,Transkribus,0.039567,0.059459,122,59,31,25,11,19,5358,925
"Anonymous - 1693 - The truest and largest account of the late earthquake in Jamaica, June the 7th. 1692. written by a r_page_10.xml",Transkribus,0.041919,0.138770,76,46,30,10,33,54,3626,699
"Anonymous - 1695 - Reasons humbly offer'd, why a duty should not be laid on sugars_page_2.xml",Transkribus,0.699098,0.863039,820,827,2384,219,222,479,5766,1066
Anonymous - 1700 - An enquiry into the causes of the miscarriage of the scots colony at darien_page_31.xml,Transkribus,0.024650,0.041033,66,11,11,9,6,12,3570,658
Anonymous - 1700 - Directions for Sugar Plums_page_1.xml,Transkribus,0.775737,0.935294,379,294,2115,186,152,298,3594,680
Anonymous - 1700 - The English acquisitions in Guinea and East-India_page_50.xml,Transkribus,0.013510,0.030261,34,13,6,6,6,10,3923,727
Anonymous - 1704 - Female Policy Detected_page_73.xml,Transkribus,0.012162,0.044828,6,4,8,0,1,12,1480,290
Anonymous - 1710 - Whereas the Queen has been pleased to direct_page_1.xml,Transkribus,0.043966,0.114754,45,38,15,17,6,19,2229,366
"Anonymous - 1712 - Some considerations humbly offered, against Granting the Sole TRade to Guiny from cape blanco to cape lopez_page_1.xml",Transkribus,0.010461,0.025039,20,10,7,4,5,7,3537,639
Anonymous - 1716 - A True Account of the late pyracies of Jamaica_page_19.xml,Transkribus,0.074039,0.112195,28,39,12,6,8,9,1067,205
Anonymous - 1721 - The unhappy voyage_page_1.xml,Transkribus,0.670048,0.888889,469,453,2579,34,19,795,5225,954
Anonymous - 1726 - The State of the Island of Jamaica_page_41.xml,Transkribus,0.131660,0.178322,131,10,74,26,1,24,1633,286
Anonymous - 1728 - Some observations on the Assiento Trade_page_22.xml,Transkribus,0.021782,0.038997,6,11,27,4,6,4,2020,359
Anonymous - 1731 - The Case of the British Sugar-Colonies_page_2.xml,Transkribus,0.739949,0.803279,7,3130,84,1,514,73,4353,732
Anonymous - 1732 - Some considerations touching the sugar colonies_page_1.xml,Transkribus,0.010558,0.040000,0,13,8,0,6,9,1989,375
Anonymous - 1740 - A letter from a gentleman at barbados to his friend now in London_page_25.xml,Transkribus,0.003799,0.021459,0,3,2,0,2,3,1316,233
"Anonymous - 1743 - Acts of Assembly passed in the Island of Jamaica from 1681, to 1737, inclusive_page_118.xml",Transkribus,0.060468,0.066341,171,164,11,30,27,11,5722,1025
Anonymous - 1744 - Reasons against the bill now depending in parliament intitled a bill for inlarging and regulating the trade to the levant seas_page_6.xml,Transkribus,0.001635,0.007892,0,2,6,0,0,7,4893,887
Anonymous - 1746 - An essay concerning slavery and the danger Jamaica is expos'd too from the too great number of slaves_page_41.xml,Transkribus,0.003497,0.023364,2,1,1,1,0,4,1144,214
Anonymous - 1752 - The art of making sugar_page_1.xml,Transkribus,0.037594,0.070175,41,42,17,9,5,18,2660,456
Anonymous - 1753 - An accurate description of the cacao-tree_page_2.xml,Transkribus,0.005128,0.021583,0,5,6,0,2,7,2145,417
Anonymous - 1757 - The Jamaica Association Develop'd_page_14.xml,Transkribus,0.005247,0.035556,0,5,2,0,3,5,1334,225
Anonymous - 1764 - Astronomical Observations Made at the Island of Barbados; At Willoughby Fort_page_1.xml,Transkribus,0.011356,0.056140,3,8,7,2,1,13,1585,285
Anonymous - 1766 - The privileges of the island of jamaica vindicated_page_64.xml,Transkribus,0.007644,0.030075,0,10,1,0,4,4,1439,266
"Anonymous - 1768 - An act for vesting the settled estate of william nedham, esquire, in the island of Jamaica, in trustees for the purposes therein mentioned_pa.xml",Transkribus,0.002613,0.015521,0,0,7,1,0,6,2679,451
Anonymous - 1768 - Letters from a farmer in pennsylvania_page_74.xml,Transkribus,0.014305,0.072917,5,8,8,2,5,14,1468,288
Anonymous - 1789 - Notes on the two reports from the committee of the honourable house of assembly of Jamaica_page_32.xml,Transkribus,0.041600,0.132701,51,0,1,24,0,4,1250,211
Anonymous - 1792 - Bristol an abstract of the city charter_page_32.xml,Transkribus,0.000929,0.010050,0,1,0,0,1,1,1076,199
Anonymous - 1792 - Plain man's thoughts on the present price of sugar_page_15.xml,Transkribus,0.006767,0.026087,1,4,4,0,2,4,1330,230
"Anonymous - 1793 - Memoir, on the sugar-trade of the British colonies_page_1.xml",Transkribus,0.009211,0.045113,0,0,7,0,0,6,760,133
Anonymous - 1800 - Cushoo A dialogue between a negro and an english gentleman_page_7.xml,Transkribus,0.015122,0.039344,13,4,6,4,2,6,1521,305
Anonymous - 1803 - Practical Rules for the management and medical treatment of negro slaves in the sugar colonies_page_243.xml,Transkribus,0.005275,0.021930,0,4,3,0,2,3,1327,228
"Anonymous and Company - 1691 - A list of the names of all the adventurers in the stock of the honourable the East-India-Company, th_page_9.xml",Transkribus,0.008403,0.018868,24,9,13,2,3,13,5474,954
"Anonymous and Kilkenny - 1643 - Orders establisht in the popish generall assembly, held (under the specious pretence of supreme auth_page_5.xml",Transkribus,0.019510,0.040062,63,5,6,9,3,14,3793,649
Baker - 1775 - An essay on the art of making Moscavado sugar wherein a new process is proposed_page_1.xml,Transkribus,0.004893,0.016026,4,2,2,2,1,2,1635,312
Banks - 1699 - The unhappy favourite_page_37.xml,Transkribus,0.041872,0.079487,77,5,3,22,2,7,2030,390
Barham - 1717 - A letter of that curious Naturalist Mr Henry Barham_page_1.xml,Transkribus,0.055665,0.057823,81,4,0,13,2,2,1527,294
Bishop - 1766 - Instructions and observations relative to the navigation of the windward and gulph pas.xml,Transkribus,0.006855,0.027668,0,4,5,0,2,5,1313,253
Burroughs - 1659 - Rich Newes from Jamaica_page_4.xml,Transkribus,0.185700,0.212644,6,178,3,1,26,10,1007,174
"Cary - 1695 - An essay on the state of England in relation to its trade, its poor, and its taxes.xml",Transkribus,0.023061,0.044289,35,16,4,7,4,8,2385,429
Child - 1690 - A discourse about trade_page_175.xml,Transkribus,0.008036,0.030000,0,7,2,0,1,5,1120,200
Cotton - 1614 - Gods promise to his plantation_page_14.xml,Transkribus,0.008856,0.033457,4,5,4,1,0,8,1468,269
Cowley - 1739 - A description of the windward passage and gulf of florida_page_21.xml,Transkribus,0.002045,0.003802,0,3,0,0,1,0,1467,263
"Davison - 1621 - Dauisons poems, or, A poeticall rapsodie Deuided into sixe bookes. The firs.xml",Transkribus,0.660154,0.833795,337,263,684,113,97,91,1945,361
Dirom - 1783 - Thoughts on the state of the militia of jamaica_page_20.xml,Transkribus,0.021538,0.053097,4,8,2,1,3,2,650,113
"Edwards - 1798 - The history, civil and commercial, of the British colonies in the West Indies_page_211.xml",Transkribus,0.059393,0.088235,87,0,5,19,0,5,1549,272
F. M. - 1634 - Wits Common Wealth The Second Part_page_198.xml,Transkribus,0.693064,0.813609,388,262,619,109,89,77,1831,338
"Fawconer - 1774 - The Sporting Calendar, containing an account of the plates, matches, andf sweepstakes_p.xml",Transkribus,0.073958,0.211618,43,37,14,13,18,20,1271,241
Feltham - 1803 - A popular view of the structure and economy of the human body_page_230.xml,Transkribus,0.001507,0.008264,0,0,2,0,0,2,1327,242
Fox - 1800 - An address to the people of Great Britain on the propriety of abstaining from West.xml,Transkribus,0.010592,0.060976,5,9,20,5,4,26,3210,574
Gadbury - 1672 - The Jamaica Almanack_page_4.xml,Transkribus,0.058397,0.078481,96,7,34,17,1,13,2346,395
Gisborne - 1792 - On slavery and the slave trade_page_1.xml,Transkribus,0.011057,0.041985,3,5,8,0,2,9,1447,262
Hamilton - 1718 - An answer to an Anonymous Libel_page_48.xml,Transkribus,0.005085,0.018349,0,4,2,0,2,2,1180,218
Harris - 1691 - Remarks on the affairs and trade of England and Ireland_page_45.xml,Transkribus,0.037549,0.069034,91,3,12,24,0,11,2823,507
Hayne - 1685 - An abstract of all the statutes made concerning aliens trading in England from t.xml,Transkribus,0.020647,0.026344,75,23,8,11,4,10,5134,949
Hickeringill - 1705 - Jamaica Viewed_page_28.xml,Transkribus,0.077647,0.138393,74,6,19,18,1,12,1275,224
Hughes - 1750 - The Natural History of Barbados in Ten Books_page_211.xml,Transkribus,0.003012,0.011976,3,0,3,0,0,4,1992,334
"Ingram - 1744 - An essay, on the nature, cause, and seat of dysentery's, in a letter to Dr. H.xml",Transkribus,0.019100,0.053030,2,9,3,0,3,4,733,132
Janssen - 1713 - General Maxims in Trade_page_26.xml,Transkribus,0.013699,0.028777,18,0,2,5,0,3,1460,278
"Kent - 1687 - A choice manual, or Rare secrets in physick and chirurgery collected, & practised.xml",Transkribus,0.729730,0.841924,390,263,562,61,40,144,1665,291
Leslie - 1740 - A new and exact account of Jamaica_page_184.xml,Transkribus,0.008203,0.017316,5,4,1,1,1,2,1219,231
Ligon - 1657 - A True and Exact history of the island of barbados_page_47.xml,Transkribus,0.004444,0.022117,1,5,9,1,2,11,3375,633
"Long - 1774 - The history of Jamaica, or, general survey of the antient and modern state of that island_pag.xml",Transkribus,0.014104,0.060669,5,14,21,1,5,23,2836,478
"Marnettè - 1656 - The perfect cook being the most exact directions for the making all kinds of pastes, with the perfec_page_97.xml",Transkribus,0.075877,0.103093,135,2,8,30,1,9,1911,388
"Morley - 1653 - A Vindication of that righteous principle of the doctrine of Christ, called laying on of hands upon_page_26.xml",Transkribus,0.016825,0.043280,25,11,3,9,4,6,2318,439
Moseley and Moseley - 1799 - A treatise on sugar_page_103.xml,Transkribus,0.007414,0.031579,0,5,3,0,2,4,1079,190
"Mullinax - 1660 - Symplegades antrum, or the rumpant story impartially relating their tyrannical dealings, and clymacterial downfall_page_16.xml",Transkribus,0.026911,0.064386,57,11,7,18,2,12,2787,497
Norwood - 1753 - An account of some particulars_page_1.xml,Transkribus,0.007284,0.031026,6,4,7,2,1,10,2334,419
Ogilby - 1671 - America_page_399.xml,Transkribus,0.044142,0.053398,47,44,16,8,8,6,2424,412
Priestley - 1788 - A sermon on the subject of the slave trade_page_29.xml,Transkribus,0.004695,0.027027,1,0,4,0,0,5,1065,185
Prinsep - 1792 - The right in the West-India merchants to a double monopoly of the sugar market of Great Britain_page_1.xml,Transkribus,0.036538,0.101064,12,21,5,4,6,9,1040,188
Prinsep - 1794 - Bengal Sugar. An account of the method and expence of cultivating the sugar-cane in Bengal_page_1.xml,Transkribus,0.161172,0.346939,124,7,45,53,2,13,1092,196
Purchas - 1614 - Purchas his pilgrimage_page_484.xml,Transkribus,0.105372,0.243468,165,188,157,32,36,137,4840,842
"Robertson - 1736 - The speech of Mr John Talbot Campo-bell, a free christian negro to his countrymen in the mountains of jamaica_page_47.xml",Transkribus,0.017306,0.036000,16,4,3,5,1,3,1329,250
"Sheffeild - 1650 - A good conscience the strongest hold. A treatise of conscience, handli.xml",Transkribus,0.241731,0.249123,391,370,21,69,67,6,3235,570
"Spire - 1698 - The natures, uses, & doses of several approved and experienced medicines, faithf.xml",Transkribus,0.034805,0.095137,69,5,19,23,1,21,2672,473
Starkey - 1658 - Natures explication and Helmont's vindication. Or A short and sure way to a.xml,Transkribus,0.023337,0.072848,20,4,16,7,1,14,1714,302
"Stow - 1633 - The survey of London containing the original, increase, modern estate and government of that city, m_page_250.xml",Transkribus,0.718637,0.893548,898,1444,4217,231,317,837,9127,1550
"Stubbe - 1662 - The Indian Nectar, or a discourse concerning chocolata_page_105.xml",Transkribus,0.025802,0.092251,3,15,19,1,1,23,1434,271
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27.xml,Transkribus,0.008204,0.027650,2,4,3,0,2,4,1097,217
Tryon - 1684 - Friendly advice to the gentle-man planters of the east and west indies_page_112.xml,Transkribus,0.013978,0.063953,0,5,8,0,2,9,930,172
"Vaughan - 1612 - Approved directions for health, both naturall and artificiall deriued from .xml",Transkribus,0.055664,0.121212,73,8,33,14,1,29,2048,363
Walwyn - 1646 - A word in season to all sorts of wel minded people in this miserably distracted and distempered nat_page_5.xml,Transkribus,0.032046,0.070529,57,9,7,11,1,16,2278,397
"Williams - 1750 - An essay on the bilious, or yellow fever of jamaica_page_28.xml",Transkribus,0.008880,0.030075,2,4,7,0,2,6,1464,266
Windham - 1804 - Facts better than arguments_page_99.xml,Transkribus,0.007305,0.039216,0,0,9,0,0,8,1232,204
Woods - 1784 - Thoughts on the slavery of the negroes_page_1.xml,Transkribus,0.008959,0.038710,0,5,3,0,2,4,893,155
Worthington - 1620 - The ground of a Christians life Deliuered in a sermon at Harwood in.xml,Transkribus,0.142330,0.218468,154,120,73,34,31,32,2438,444
Wright - 1777 - Description of the Jesuits bark tree of Jamaica and the Caribbes_page_3.xml,Transkribus,0.037371,0.157303,14,4,11,2,1,11,776,89
Young - 1807 - The West-India Common-place Book_page_149.xml,Transkribus,0.155246,0.236025,11,41,93,3,10,25,934,161
