system,doc_surf,uniq_d,doc_reuse_pct,chk_surf,uniq_c,chk_reuse_pct,chunks_per_doc,n_questions
rag_only,45,31,31.11111111111111,57,44,22.807017543859654,1.4193548387096775,25
kg_plus_rag,45,31,31.11111111111111,57,44,22.807017543859654,1.4193548387096775,25
true_graphrag,48,19,60.41666666666667,80,52,35.0,2.736842105263158,25
graphrag_plus_kg,64,9,85.9375,150,49,67.33333333333333,5.444444444444445,25
graphrag_kg_vector,66,18,72.72727272727273,149,55,63.08724832214765,3.0555555555555554,25
self_rag_rag,42,21,50.0,48,34,29.166666666666664,1.619047619047619,25
self_rag_graphrag,34,19,44.11764705882353,61,39,36.065573770491795,2.0526315789473686,25
improved_scratchpad,490,249,49.183673469387756,571,275,51.83887915936953,1.104417670682731,25
