OCR System,Age Group,Num Documents,Mean CER,Median CER,Std CER,Mean WER,Median WER,Std WER,Mean BLEU Score,Median BLEU Score,Std BLEU Score,Mean Hallucination Rate,Median Hallucination Rate,Std Hallucination Rate
LightOn,1600-1624,5,0.097752,0.083004,0.068961,0.175752,0.145299,0.111178,0.723176,0.751884,0.169739,0.045405,0.037736,0.033227
LightOn,1625-1649,5,0.084575,0.058067,0.057213,0.156559,0.090674,0.118143,0.761144,0.855689,0.172132,0.040382,0.031034,0.020893
LightOn,1650-1674,11,0.076063,0.058486,0.070486,0.126275,0.098592,0.094648,0.802284,0.837213,0.127251,0.031663,0.029630,0.021062
LightOn,1675-1699,21,0.399277,0.040567,1.369582,0.368571,0.069620,1.099079,0.800883,0.890017,0.200179,0.055887,0.022167,0.130821
LightOn,1700-1724,12,0.068288,0.037184,0.069879,0.112744,0.076949,0.103440,0.826079,0.862169,0.152656,0.026264,0.023833,0.020436
LightOn,1725-1749,12,0.032682,0.010110,0.041582,0.063456,0.033048,0.061899,0.914105,0.941576,0.081129,0.010366,0.005163,0.015466
LightOn,1750-1774,13,0.015623,0.011450,0.012074,0.055886,0.043956,0.045627,0.890363,0.915814,0.090492,0.007615,0.006042,0.008379
LightOn,1775-1799,14,0.020390,0.007864,0.031549,0.044130,0.026766,0.042209,0.926825,0.963883,0.093920,0.013478,0.005230,0.026963
LightOn,1800-1824,7,0.129743,0.005364,0.305786,0.080419,0.018692,0.150934,0.899972,0.966965,0.160724,0.007083,0.004464,0.008223
